kota,kecamatan,kelurahan,luas_daerah,kepadatan,jumlah_penduduk,panjang_jalan,tahun,macet
JAKARTA TIMUR,PULO GADUNG,JATI,2.16,17724.83,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,0.48,64181.48,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,BIDARA CINA,1.26,35305.31,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,BALI MESTER,0.67,16614.22,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,0.88,28916.14,3037139.0,1518.0,2020,0
JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,1.29,29711.63,3037139.0,1518.0,2020,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,0.62,10278.58,,,2020,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,2.58,2539.95,,,2020,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,2.45,962.32,,,2020,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,1.03,2191.54,,,2020,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,1.07,4714.69,,,2020,0
KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,0.95,3106.69,,,2020,0
JAKARTA PUSAT,GAMBIR,GAMBIR,2.58,1272.65,1056896.0,692.0,2020,0
JAKARTA PUSAT,GAMBIR,CIDENG,1.26,15108.4,1056896.0,692.0,2020,1
JAKARTA PUSAT,GAMBIR,PETOJO UTARA,1.12,19309.73,1056896.0,692.0,2020,1
JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,1.14,15389.96,1056896.0,692.0,2020,1
JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0.78,16434.06,1056896.0,692.0,2020,1
JAKARTA PUSAT,GAMBIR,DURI PULO,0.71,35207.18,1056896.0,692.0,2020,1
